province,census_division,census_subdivision,land_area_km2,population_2006,population_2011,population_2016,population_2021
Newfoundland and Labrador,Division No.  1,Admirals Beach,24.2,185.0,153.0,135.0,97.0
Newfoundland and Labrador,Division No.  1,Aquaforte,6.88,103.0,83.0,80.0,74.0
Newfoundland and Labrador,Division No.  1,Arnold's Cove,5.25,1003.0,990.0,949.0,964.0
Newfoundland and Labrador,Division No.  1,Avondale,29.69,667.0,636.0,641.0,584.0
Newfoundland and Labrador,Division No.  1,Bauline,16.05,379.0,397.0,452.0,412.0
Newfoundland and Labrador,Division No.  1,Bay Bulls,30.6,1078.0,1283.0,1500.0,1566.0
Newfoundland and Labrador,Division No.  1,Bay Roberts,24.51,5414.0,5818.0,6012.0,5974.0
Newfoundland and Labrador,Division No.  1,Bay de Verde,13.24,470.0,398.0,392.0,347.0
Newfoundland and Labrador,Division No.  1,Bishop's Cove,1.9,329.0,275.0,287.0,252.0
Newfoundland and Labrador,Division No.  1,Branch,16.18,309.0,247.0,228.0,177.0
Newfoundland and Labrador,Division No.  1,Brigus,11.48,794.0,750.0,723.0,699.0
Newfoundland and Labrador,Division No.  1,Bryant's Cove,4.9,417.0,396.0,395.0,343.0
Newfoundland and Labrador,Division No.  1,Cape Broyle,10.09,545.0,506.0,489.0,499.0
Newfoundland and Labrador,Division No.  1,Carbonear,12.44,4723.0,4739.0,4858.0,4696.0
Newfoundland and Labrador,Division No.  1,Chance Cove,18.14,310.0,282.0,256.0,213.0
Newfoundland and Labrador,Division No.  1,Chapel Arm,28.08,451.0,468.0,457.0,446.0
Newfoundland and Labrador,Division No.  1,Clarke's Beach,12.64,1289.0,1396.0,1558.0,1400.0
Newfoundland and Labrador,Division No.  1,Colinet,6.01,165.0,110.0,80.0,103.0
Newfoundland and Labrador,Division No.  1,Colliers,26.24,722.0,651.0,654.0,613.0
Newfoundland and Labrador,Division No.  1,Come By Chance,39.55,260.0,247.0,228.0,208.0
Newfoundland and Labrador,Division No.  1,Conception Bay South,59.72,21966.0,24848.0,26199.0,27168.0
Newfoundland and Labrador,Division No.  1,Conception Harbour,21.47,743.0,697.0,685.0,624.0
